ClaGenus,ClaSpecies,AutAuthorString,SummaryData
Pandaros,arbusculum,"Duchassaing & Michelotti, 1864","Michelotti, G."
Callyspongia,arcesiosa,"de Laubenfels, 1936","de Laubenfels, M. W."
Aplysina,archeri,"(Higgin, 1875)",
Verongia,archeri,"(Higgin, 1875)",
Artemisina,arcigera,"(Schmidt, 1870)",
Hemigellius,arcofer,"(Vosmaer, 1885)",
Orina,arcoferus,"(Vosmaer, 1885)",
Grantia,arctica,"(Haeckel, 1872)",
Haliclona,arctica,"(Hentschel, 1916)",
Ianthella,ardis,"de Laubenfels, 1950","de Laubenfels, M. W."
Verongula,ardis,"(de Laubenfels, 1950)",
Dysidea,arenaria,Bergquist,"Bergquist, P. R."
Gelliodes,areolata,"(Wilson, 1902)",
Pachychalina,areolata,"Wilson, 1902","Wilson, H. V."
Anheteromeyenia,argyrosperma,"(Potts, 1880)",
Heteromeyenia,argyrosperma,"(Potts, 1880)",
Hircinia,armata,(Duchassaing & Michelotti),
Hircinia,armata,Verrill,"Verrill, A. E."
Callyspongia,armigera,"(Duchassaing & Michelotti, 1864)",
Cladochalina,armigera,"(Duchassaing & Michelotti, 1864)",
Tuba,armigera,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Tuba,armigera,"Duchassaing & Michelotti, 1864","Michelotti, G."
Astylinifer,arndti,"de Laubenfels, 1930","de Laubenfels, M. W."
Hymedesmia,arndti,"(de Laubenfels, 1930)",
Caesaria,articulata,(Goldfuss),
Hircinia,aruensis,"Hentschel, 1912","Hentschel, E."
Ircinia,aruensis,"(Hentschel, 1912)",
Clathria,asodes,"(de Laubenfels, 1930)",
Eurypon,asodes,"de Laubenfels, 1930","de Laubenfels, M. W."
Leptoclathria,asodes,"(de Laubenfels, 1930)",
Heterospongia,asper,,
Leuconia,aspera,(Schmidt),
Saccospongia,aspera,,
Euplectella,aspergillum,Owen,
Spongilla,aspinosa,"Potts, 1880",
Hymeniacidon,assimilis,"(Levinsen, 1887)",
Spongites,astrophorus,,
Neoprosypa,atina,"de Laubenfels, 1954","de Laubenfels, M. W."
Hircinia,atra,"Whitfield, 1901","Whitfield, R. P."
Iotrochota,atra,"(Whitfield, 1901)",
Clathria,atrasanguinea,"(Bowerbank, 1862)",
Microciona,atrasanguinea,"Bowerbank, 1862","Bowerbank, J. S."
Strephochetus,atratus,"Seely, 1886","Seely, H. M."
Prismodictya,aulophia,,
Ptilocaulis,aulopora,"(Schmidt, 1870)",
Schmidtia,aulopora,"Schmidt, 1870","Schmidt, E. O."
Tethya,aurantia,"de Laubenfels, 1932","de Laubenfels, M. W."
Suberites,aurantiaca,"(Duchassaing & Michelotti, 1864)",
Terpios,aurantiaca,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Terpios,aurantiaca,"Duchassaing & Michelotti, 1864","Michelotti, G."
Suberites,aurantiacus,"(Duchassaing & Michelotti, 1864)",
Aulocopium,aurantium,,
Tethya,aurantium,"(Pallas, 1766)",
Aplysina,aurea,"Hyatt, 1875","Hyatt, A."
Smenospongia,aurea,"(Hyatt, 1875)",
Verongia,aurea,"(Hyatt, 1875)",
Goreauiella,auriculata,"Hartman, 1969","Hartman, W. D."
Chonella,auriformis,,
Verruculina,auriformis,,
Pattersonia,aurita,(Beecher),
Strobilospongia,aurita,(Beecher),
Cliothosa,aurivillii,"(Lindgren, 1897)",
Spirastrella,aurivillii,"Lindgren, 1897","Lindgren, N. G."
Rhabdastrella,aurora,"(Hentschel, 1909)",
Dragmacidon,australe,"(Bergquist, 1970)",
Chondrilla,australiensis,"Carter, 1873","Carter, H. J."
Cinachyra,australiensis,(Carter),
Cinachyrella,australiensis,"(Carter, 1886)",
Pseudaxinella,australis,"Bergquist, 1970","Bergquist, P. R."
Dysidea,avara,"(Schmidt, 1862)",
Hydnoceras,avoca,,
Halichondria,B2,,
Halichondria,B3,,
Aphrocallistes,bacaqei,,
Paratetilla,bacca,(Selenka),
Iotrochota,baculifera,"Ridley, 1884","Ridley, S. O."
Prismodictya,baculum,Hall,
Lubomirskia,baicalensis,"(Pallas, 1773)",
Lubomirskia,baikalensis,(Pallas),
Echinochalina,barba,"(Lamarck, 1813)",
Monanchora,barbadensis,"Hechtel, 1969","Hechtel, G. J."
Spongia,barbara,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,barbara,"Duchassaing & Michelotti, 1864","Michelotti, G."
Geodia,barretti,"Bowerbank, 1858",
Inflatella,bartschi,"de Laubenfels, 1934",
Oceanapia,bartschi,"(de Laubenfels, 1934)",
Gaspespongia,basalis,Parks,
Hydnoceras,bathense,Hall & Clarke,
Aphrocallistes,beatrix,"Gray, 1858",
Girtyocoelia,beedei,"(Girty, 1908)",
Heterocoelia,beedei,,
Girtycoelia,benjamini,,
Aaptos,bergmanni,"de Laubenfels, 1950","de Laubenfels, M. W."
Echinoclathria,beringensis,"(Hentschel, 1929)",
Phakellia,beringensis,"Hentschel, 1929",
Fibulia,bermuda,"de Laubenfels, 1950","de Laubenfels, M. W."
Strongylacidon,bermuda,"(de Laubenfels, 1950)",
Geodia,bicolor,"(von Lendenfeld, 1910)",
Sidonops,bicolor,"von Lendenfeld, 1910","von Lendenfeld, R."
Leuconia,bidentatus,,
Iotrochota,birotulata,"(Higgin, 1877)",
Ptilocaulis,bistyla,"(Hechtel, 1983)",
Stylaxinella,bistyla,"Hechtel, 1983","Hechtel, G. J."
Aphrocallistes,bocagei,"Wright, 1870",
Stelletta,boglicii,"Schmidt, 1862","Schmidt, E. O."
Polymastia,boletiformis,"(Lamarck, 1815)",
Sphaerotylus,borealis,"(Swartschewsky, 1906)",
Stylocordyla,borealis,"(Lovén, 1868)",
Leucosolenia,botryoides,"(Ellis & Solander, 1786)",
Halichondria,bowerbancki,Burton,"Burton, E."
Halichondria,bowerbanki,"Burton, 1930",
Halichondria,bowerbanki,"Burton, 1930","Burton, E."
Hamptonia,bowerbanki,Walcott,"Walcott, C. D."
